N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+398,0.03781485,4,0.0756297,-38.21549985,4.529249e-05,15.415,14.845,14.845,0
2mer-0+424,0.05428752,4,0.10857505,-38.1069248,4.526057e-05,16.236,14.849,14.849,0
2mer-0+423,0.03334473,4,0.06668946,-38.04023534,4.526057e-05,16.236,14.849,14.849,0
2mer-0+396,0.06454181,2,0.06454181,-37.97569353,4.496458e-05,15.293,14.881,14.881,0
2mer-0+435,0.03710439,4,0.07420879,-37.90148474,4.480749e-05,16.223,14.899,14.899,0
2mer-0+408,-0.0129644,4,-0.0259288,-37.92741354,4.478898e-05,16.257,14.901,14.901,0
2mer-0+506,0.04746455,2,0.04746455,-37.87994899,4.475443e-05,15.644,14.905,14.905,0
2mer-0+413,-0.05789401,2,-0.05789401,-37.93784299,4.472951e-05,15.633,14.907,14.907,0
2mer-0+454,0.05820483,2,0.05820483,-37.87963817,4.464969e-05,15.878,14.916,14.916,0
2mer-0+476,-0.05934355,4,-0.11868709,-37.99832526,4.442443e-05,15.374,14.941,14.941,0
2mer-0+457,-0.07213295,4,-0.1442659,-38.14259116,4.441824e-05,15.409,14.942,14.942,0
2mer-0+525,-0.12749383,1,-0.06374691,-38.20633807,4.424896e-05,15.441,14.961,14.961,0
2mer-0+465,-0.00154418,2,-0.00154418,-38.20788225,4.4038e-05,16.258,14.985,14.985,0
2mer-0+536,0.08580228,1,0.04290114,-38.16498111,4.4038e-05,16.214,14.985,14.985,0
2mer-0+483,0.05209739,2,0.05209739,-38.11288372,4.358534e-05,16.645,15.037,15.037,0
2mer-0+459,-0.03678021,4,-0.07356043,-38.18644415,4.289868e-05,15.869,15.117,15.117,0
2mer-0+425,0.01996222,2,0.01996222,-38.16648192,4.285315e-05,15.69,15.122,15.122,0
2mer-0+516,-0.01685258,2,-0.01685258,-38.18333451,4.279382e-05,15.848,15.129,15.129,0
2mer-0+450,-0.01761822,2,-0.01761822,-38.20095273,4.277684e-05,15.916,15.131,15.131,0
2mer-0+412,-0.03505495,2,-0.03505495,-38.23600768,4.275275e-05,15.883,15.134,15.134,0
2mer-0+467,-0.05808875,2,-0.05808875,-38.29409643,4.271426e-05,15.679,15.138,15.138,0
2mer-0+441,0.05110178,2,0.05110178,-38.24299465,4.26546e-05,16.088,15.145,15.145,0
2mer-0+464,-0.02770164,4,-0.05540328,-38.29839793,4.256312e-05,15.409,15.156,15.156,0
2mer-0+458,0.02311698,2,0.02311698,-38.27528094,4.231749e-05,15.249,15.185,15.185,0
2mer-0+466,-0.06525732,2,-0.06525732,-38.34053827,4.181565e-05,15.64,15.246,15.246,0
2mer-0+494,-0.06480784,2,-0.06480784,-38.40534611,4.16147e-05,15.856,15.27,15.27,0
2mer-0+489,0.04066201,1,0.020331,-38.3850151,4.160551e-05,15.856,15.272,15.272,0
2mer-0+460,0.05768392,4,0.11536784,-38.26964726,4.068752e-05,15.869,15.386,15.386,0
2mer-0+437,0.00760498,2,0.00760498,-38.26204229,4.051389e-05,15.927,15.408,15.408,0
2mer-0+500,0.0397668,2,0.0397668,-38.22227549,3.931025e-05,15.946,15.563,15.563,0
2mer-0+523,0.03215,2,0.03215,-38.19012549,3.913624e-05,16.872,15.586,15.586,0
2mer-0+485,0.03567979,2,0.03567979,-38.1544457,3.912147e-05,16.883,15.588,15.588,0
2mer-0+554,0.0508992,2,0.0508992,-38.1035465,3.868109e-05,16.467,15.647,15.647,0
2mer-0+510,0.01899347,2,0.01899347,-38.08455303,3.867165e-05,16.543,15.648,15.648,0
2mer-0+463,-0.05980033,2,-0.05980033,-38.14435336,3.841358e-05,16.501,15.683,15.683,0
2mer-0+529,0.08655509,1,0.04327754,-38.10107582,3.785758e-05,15.972,15.76,15.76,0
2mer-0+530,-0.02978777,2,-0.02978777,-38.13086359,3.766715e-05,16.486,15.786,15.786,0
2mer-0+484,0.04315253,2,0.04315253,-38.08771106,3.731661e-05,16.155,15.836,15.836,0
2mer-0+486,-0.00324556,2,-0.00324556,-38.09095663,3.722396e-05,16.347,15.849,15.849,0
2mer-0+610,0.01990308,2,0.01990308,-38.07105355,3.721243e-05,16.478,15.85,15.85,0
2mer-0+580,0.02795724,2,0.02795724,-38.04309631,3.719533e-05,16.873,15.853,15.853,0
2mer-0+501,0.05238052,2,0.05238052,-37.99071579,3.718987e-05,16.554,15.854,15.854,0
2mer-0+481,-0.01421661,2,-0.01421661,-38.0049324,3.715464e-05,16.906,15.859,15.859,0
2mer-0+548,-0.0056589,2,-0.0056589,-38.0105913,3.708567e-05,16.709,15.868,15.868,0
2mer-0+594,-0.00185735,2,-0.00185735,-38.01244865,3.661403e-05,16.664,15.936,15.936,0
2mer-0+533,-0.00390437,2,-0.00390437,-38.01635303,3.660094e-05,16.729,15.938,15.938,0
2mer-0+527,-0.05890172,2,-0.05890172,-38.07525475,3.625536e-05,16.522,15.989,15.989,0
2mer-0+602,0.01089192,2,0.01089192,-38.06436283,3.60727e-05,16.844,16.016,16.016,0
2mer-0+540,-0.02319255,2,-0.02319255,-38.08755538,3.605994e-05,16.908,16.017,16.017,0
2mer-0+583,-0.02133222,2,-0.02133222,-38.1088876,3.602395e-05,17.062,16.023,16.023,0
2mer-0+542,-0.04630069,2,-0.04630069,-38.15518829,3.600989e-05,16.697,16.025,16.025,0
2mer-0+551,-0.02148114,4,-0.04296229,-38.19815058,3.584227e-05,16.668,16.05,16.05,0
2mer-0+553,-0.02363336,2,-0.02363336,-38.22178394,3.562089e-05,16.948,16.083,16.083,0
2mer-0+503,0.07558077,4,0.15116154,-38.0706224,3.547158e-05,16.356,16.106,16.106,0
2mer-0+601,-0.03800787,1,-0.01900393,-38.08962633,3.542806e-05,16.486,16.112,16.112,0
2mer-0+593,-0.07869237,2,-0.07869237,-38.1683187,3.522896e-05,16.914,16.142,16.142,0
2mer-0+552,0.03704868,4,0.07409736,-38.09422134,3.52262e-05,16.668,16.143,16.143,0
2mer-0+531,-0.00416819,4,-0.00833639,-38.10255773,3.48872e-05,17.285,16.195,16.195,0
2mer-0+532,0.04119563,4,0.08239126,-38.02016647,3.48872e-05,17.285,16.195,16.195,0
2mer-0+623,0.01372917,2,0.01372917,-38.00643731,3.46988e-05,17.082,16.224,16.224,0
2mer-0+556,0.01535211,2,0.01535211,-37.9910852,3.468684e-05,17.145,16.226,16.226,0
2mer-0+603,-0.06697793,2,-0.06697793,-38.05806313,3.454667e-05,16.668,16.248,16.248,0
2mer-0+526,0.06153877,4,0.12307754,-37.93498559,3.436069e-05,16.359,16.277,16.277,0
2mer-0+659,-0.02425435,2,-0.02425435,-37.95923994,3.434629e-05,16.884,16.28,16.28,0
2mer-0+668,0.02776195,2,0.02776195,-37.931478,3.432902e-05,17.055,16.282,16.282,0
2mer-0+544,0.02857858,2,0.02857858,-37.90289942,3.432655e-05,16.959,16.283,16.283,0
2mer-0+543,-0.01425826,2,-0.01425826,-37.91715768,3.430725e-05,16.927,16.286,16.286,0
2mer-0+528,0.02135842,2,0.02135842,-37.89579925,3.429862e-05,17.118,16.287,16.287,0
